dataset,filters,kernel_size,lstm_units,dropout,learning_rate,batch_size,val_loss,val_accuracy,precision,recall,f1,epochs_used,basin_id,phase,method
Haaglanden,96,3,128,0.1,0.0005,16,1.114769697189331,0.5375,0.520038797472069,0.5321105026201047,0.5071234069498827,4,3,hc_step,Basin Hopping
Haaglanden,96,5,128,0.1,0.0005,16,1.0965453386306763,0.5390625,0.5270779144452082,0.5344444577267472,0.5021893196464762,4,3,hc_step,Basin Hopping
Haaglanden,96,4,96,0.1,0.0005,16,1.0996137857437134,0.53828125,0.5172475753574346,0.5346327691890639,0.5106030624002593,4,3,hc_step,Basin Hopping
Haaglanden,96,4,128,0.2,0.0005,16,1.1458368301391602,0.52578125,0.5080876522148384,0.5196246983055067,0.48307345838772753,4,3,hc_step,Basin Hopping
Haaglanden,128,4,128,0.1,0.0005,16,1.1451590061187744,0.5171875,0.5320659866741316,0.5102185267266226,0.5018486356487479,4,3,hc_step,Basin Hopping
Haaglanden,96,4,128,0.1,0.0001,16,1.1211878061294556,0.52578125,0.49532259757368946,0.5224824620205567,0.49530790647744566,4,3,hc_step,Basin Hopping
Haaglanden,96,4,128,0.1,0.001,16,1.0974342823028564,0.5234375,0.5219581280806436,0.5184405908894425,0.500284786413361,4,3,hc_step,Basin Hopping
Haaglanden,64,4,128,0.1,0.0005,16,1.1293840408325195,0.51875,0.5133419315597048,0.5148703547636646,0.484295093663604,4,3,hc_step,Basin Hopping
Haaglanden,96,4,128,0.1,0.0005,32,1.1714516878128052,0.4953125,0.46786864116390275,0.49411479438340233,0.4749076382935608,4,3,hc_step,Basin Hopping
Haaglanden,16,4,128,0.1,0.0005,16,1.2006304264068604,0.47578125,0.4131010993372093,0.4719094674297385,0.41282991000721225,4,4,hc_start,Basin Hopping
Haaglanden,16,4,128,0.1,0.001,16,1.2375596761703491,0.4765625,0.4426323628466037,0.4722114709161277,0.4387115908173027,4,4,hc_step,Basin Hopping
Haaglanden,16,4,128,0.1,0.0001,16,1.2078074216842651,0.4765625,0.43368656740112144,0.47360911899006536,0.42729041997334677,4,4,hc_step,Basin Hopping
Haaglanden,32,4,128,0.1,0.0005,16,1.1413824558258057,0.51796875,0.4653253042948844,0.5115155715883719,0.4676495176988397,4,4,hc_step,Basin Hopping
Haaglanden,16,4,128,0.1,0.0005,16,1.1505258083343506,0.51875,0.4930532540892454,0.5167911699466865,0.4827552224392238,4,4,hc_step,Basin Hopping
Haaglanden,32,4,128,0.1,0.0005,32,1.157081961631775,0.53828125,0.5031296326502706,0.529906504973657,0.49204451503391267,4,4,hc_step,Basin Hopping
Haaglanden,32,3,128,0.1,0.0005,16,1.1728402376174927,0.5109375,0.5060074642083892,0.5047446320246621,0.46086113719890387,4,4,hc_step,Basin Hopping
Haaglanden,32,5,128,0.1,0.0005,16,1.1638538837432861,0.51484375,0.48219284143254215,0.5075472670037751,0.46550666702779486,4,4,hc_step,Basin Hopping
Haaglanden,32,4,128,0.2,0.0005,16,1.1977851390838623,0.47578125,0.43602792662160555,0.4710090156142622,0.4303342629431087,4,4,hc_step,Basin Hopping
Haaglanden,64,4,128,0.1,0.0005,16,1.1478781700134277,0.50859375,0.5402499045154029,0.5090117916514302,0.5045354036029319,4,4,hc_step,Basin Hopping
Haaglanden,32,4,128,0.1,0.001,16,1.1595404148101807,0.50546875,0.46758478525113684,0.5022480717372145,0.47250474613528615,4,4,hc_step,Basin Hopping
Haaglanden,32,4,96,0.1,0.0005,16,1.1074601411819458,0.53984375,0.5165561424965128,0.535371799025621,0.5126662569353491,4,4,hc_step,Basin Hopping
Haaglanden,64,4,96,0.1,0.0005,16,1.074546217918396,0.5515625,0.5355731483128744,0.5437365441971944,0.5312619626367225,4,4,hc_step,Basin Hopping
Haaglanden,32,4,96,0.1,0.0005,16,1.141555666923523,0.478125,0.448723235197573,0.4775328291407117,0.4578715430030244,4,4,hc_step,Basin Hopping
Haaglanden,96,4,96,0.1,0.0005,16,1.1384811401367188,0.50390625,0.48054165070775345,0.49782848332741647,0.4814293458936835,4,4,hc_step,Basin Hopping
