dataset,generation,filters,kernel_size,lstm_units,dropout,learning_rate,batch_size,val_loss,val_accuracy,precision,recall,f1,epochs_used,method
Sleep-EDF,9,128,5,128,0.2,0.0005,16,0.836199164390564,0.6515625,0.6546335456831891,0.6442616247796988,0.6339171274392033,4,GA
Sleep-EDF,9,128,4,128,0.5,0.0005,16,0.9001060724258423,0.6265625,0.612008605671237,0.610123637399113,0.5788377349325825,4,GA
Sleep-EDF,9,128,5,128,0.2,0.0005,16,0.7994963526725769,0.66015625,0.6574355562834545,0.6505289299107473,0.652066333324664,4,GA
Sleep-EDF,9,96,5,64,0.2,0.0005,64,1.3227944374084473,0.434375,0.44655194081437194,0.4136144813257575,0.3596152941084666,4,GA
Sleep-EDF,9,128,4,128,0.2,0.0005,16,0.8026047945022583,0.67421875,0.6642802644648986,0.6636162366659303,0.6633134717427894,4,GA
Sleep-EDF,10,128,5,128,0.2,0.0005,16,0.8532863855361938,0.63828125,0.6142685089041287,0.6232491266224605,0.6104467688014921,4,GA
Sleep-EDF,10,128,5,64,0.2,0.001,64,1.3477407693862915,0.41875,0.42729373121193887,0.4011379535924927,0.37297435745463015,4,GA
Sleep-EDF,10,128,5,128,0.2,0.0005,16,0.8336589932441711,0.64765625,0.6353332845602311,0.6379810285729419,0.6313998481558114,4,GA
Sleep-EDF,10,128,4,128,0.2,0.0005,16,0.8395894765853882,0.6421875,0.6355423925792544,0.6326353222016008,0.6302372626523142,4,GA
Sleep-EDF,10,128,5,128,0.5,0.0005,16,0.9032872915267944,0.603125,0.6344344656752238,0.598110903448896,0.5684699684729893,4,GA
Sleep-EDF,10,128,5,128,0.2,0.0005,16,0.8575307130813599,0.63046875,0.6565790971262161,0.6189814167796779,0.5968928964205101,4,GA
Sleep-EDF,10,128,4,128,0.2,0.0001,48,1.2893519401550293,0.46328125,0.4525513918329767,0.44388877208072824,0.37931152108900024,4,GA
Sleep-EDF,10,128,5,128,0.3,0.0005,16,0.9160215258598328,0.58203125,0.5693499976968963,0.5752313128257366,0.5412319056729648,4,GA
Sleep-EDF,10,128,5,128,0.5,0.0005,16,0.9100067019462585,0.60625,0.5902075262414674,0.5919499488641133,0.5848246743286625,4,GA
Sleep-EDF,10,128,4,64,0.2,0.0001,64,1.4312855005264282,0.38984375,0.5340081167291458,0.37452389001323166,0.3435667830859855,4,GA
