dataset,generation,filters,kernel_size,lstm_units,dropout,learning_rate,batch_size,val_loss,val_accuracy,precision,recall,f1,epochs_used,method
Haaglanden,9,128,4,128,0.3,0.0005,32,1.2081063985824585,0.4921875,0.45663437765432774,0.48746443623059665,0.4252822356614828,4,GA
Haaglanden,9,128,4,64,0.3,0.0005,48,1.4634608030319214,0.3875,0.3313248056610366,0.3898857470678733,0.2751605489022269,4,GA
Haaglanden,9,128,5,64,0.3,0.0005,32,1.2590978145599365,0.46953125,0.41305628495024854,0.46553246606717175,0.3876280120051519,4,GA
Haaglanden,10,96,5,96,0.2,0.0005,32,1.1344671249389648,0.51875,0.47811194607508145,0.5156684551287287,0.47577704880748584,4,GA
Haaglanden,10,128,5,64,0.2,0.0005,32,1.1425058841705322,0.528125,0.4977659404494748,0.524418063278362,0.4954405729496849,4,GA
Haaglanden,10,128,4,32,0.2,0.0005,32,1.1613743305206299,0.52734375,0.49633735274107904,0.5236038766087718,0.4674425609786749,4,GA
Haaglanden,10,128,4,64,0.2,0.0005,32,1.2447429895401,0.46796875,0.4416277936339424,0.46835729038942286,0.4412289193960722,4,GA
Haaglanden,10,128,5,64,0.4,0.0005,64,1.5738847255706787,0.3359375,0.27039899767562403,0.3378486828380138,0.2094943219574846,4,GA
Haaglanden,10,128,5,96,0.2,0.0005,32,1.0748096704483032,0.55234375,0.5230888032334077,0.5461601993609022,0.5119422083612492,4,GA
Haaglanden,10,128,4,96,0.2,0.0005,32,1.1444056034088135,0.52578125,0.5033481986151885,0.5230652113857838,0.5026672750945579,4,GA
Haaglanden,10,128,4,64,0.2,0.0005,32,1.1431846618652344,0.51640625,0.48093897600474955,0.511012844507259,0.48543724360442153,4,GA
Haaglanden,10,128,4,64,0.3,0.0005,32,1.3167699575424194,0.44609375,0.4107021778342868,0.448039187316205,0.36246287036034686,4,GA
Haaglanden,10,128,5,64,0.2,0.0005,32,1.147575855255127,0.50390625,0.4648104426533505,0.5012032525990101,0.4673944688725061,4,GA
